comic_name,active_years,issue_title,publish_date,issue_description,penciler,writer,cover_artist,Imprint,Format,Rating,Price
A Year of Marvels: June Infinite Comic (2016),(2016),A Year of Marvels: June Infinite Comic (2016) #1,"June 15, 2016","Sam Alexander’s finding it hard to cope with the fact that his dad is M.I.A. in the far reaches of space. Luckily, this Father’s Day, Nova’s got the chance to help former New Warrior Midnight’s Fire put his family back together. But when Iron Man shows up to inform his young teammate he’s backing the wrong horse, will Nova cool his jets?",Diego Olortegui,Paul Allor,Jamal Campbell, Marvel Universe, Infinite Comic,, Free
A+X (2012 - 2014),(2012 - 2014),A+X (2012) #17,"February 19, 2014",SPIDER-MAN + PSYLOCKE= a heart-breaking story from their past! Part 5 of the CAPTAIN AMERICA + CYCLOPS story by Gerry Duggan (DEADPOOL) and David Yardin (X-FACTOR).,"Paco Diaz, David Yardin","Gerry Duggan, Jeff Loveness",Goran Parlov,, Comic, Rated T, $3.99
A+X (2012 - 2014),(2012 - 2014),A+X (2012) #15,"December 11, 2013","Dr. Strange + Beast = a truly insane story by Dream Thief creators JAI NITZ and GREG SMALLWOOD! Part 3 of the Captain America + Cyclops story by Gerry Duggan (DEADPOOL) and David Yardin (X-FACTOR, Injustice).",Greg Smallwood,"Jai Nitz, Gerry Duggan",,, Comic,, $3.99
A+X (2012 - 2014),(2012 - 2014),A+X (2012) #14,"November 20, 2013",CAPTAIN AMERICA + CYCLOPS continue their quest to root out Cadre K! Plus: Two former villains...SUPERIOR SPIDER-MAN + MAGNETO! Max Bemis of the band Say Anything makes his Marvel Comics writing debut!,David Lafuente,Gerry Duggan,,, Comic,, $3.99
A+X (2012 - 2014),(2012 - 2014),A+X (2012) #8,"May 22, 2013",Captain America and Wolverine fight a villain unlike any you've ever seen! Deadpool and Hawkeye do not see eye-to-eye!,Humberto Ramos,Nathan Edmondson,,, Comic,, $3.99
A+X (2012 - 2014),(2012 - 2014),A+X (2012) #7,"April 24, 2013","Artist Stefano Casseli (AVENGERS ASSEMBLE) and Mike Costa (G.I.: JOE: Cobra) show you the ever-loving blue-eyed Thing and the ever-lusting red-eyed Gambit playing the most dangerous game! Thor and Iceman teamup in one of the most visually amazing tales you've ever seen, courtesy of Christopher Yost (AVENGING SPIDER-MAN) and superstar artists-to be R'John Bernales and Chris Turcotte!",Stefano Caselli,Christopher Yost,,, Comic,, $3.99
A+X (2012 - 2014),(2012 - 2014),A+X (2012) #5,"March 06, 2013",Zeb Wells and Dale Keown spin a story bringing Iron Man and Beast together! Kathryn Immonen and David Lafuente tell the tale of Iron Fist and Doop's first adventure!,David Lafuente,"Zeb Wells, Kathryn Immonen",,, Comic,, $3.99
A-Babies Vs. X-Babies (2012),(2012),A-Babies Vs. X-Babies (2012) #1,"October 24, 2012",Who will live? Who will die? Who will get diaper rash? Find out as the X-Babies face the A-Babies in the tie-in to end all tie-ins! Which side will crawl away victorious?,Skottie Young,Skottie Young,,, Comic,, $2.99
A-Force (2016),(2016),A-Force (2016) #9,"September 14, 2016","CIVIL WAR II TIE-IN! The fates of NICO MINORU, a mysterious missing girl named Alice, and a small town in Colorado are all tied together as CIVIL WAR II heats up and threatens to tear A-FORCE apart. The team, with ELSA BLOODSTONE in foul-mouthed tow, splits up to hunt down the apparent source of the trouble in the hopes of saving the town. However, it soon becomes apparent that all is not what it seems with the team - A-Force is changing - and by morning there may not be anyone left to save the day.",Paulo Siqueira,Kelly Thompson,Paulo Siqueira,, Comic,, $3.99
A-Force (2016),(2016),A-Force (2016) #8,"August 10, 2016","CIVIL WAR II TIE-IN! NEW SERIES ARTIST PAULO SIQUEIRA STARTS HERE! Civil War has come to A-FORCE! As the team is wrecked by a personal tragedy things only get worse when a predictive vision proclaims one of A-FORCE is a murderer. CAPTAIN MARVEL attempts an arrest, creating a rift that may very well mean the end of the team, and setting in motion a chain of devastating events that affect far more than just A-FORCE. Meanwhile foul-mouthed, gun-toting ELSA BLOODSTONE just unofficially joined A-Force. Looks like we're gonna need a bigger boat...and a verrrrry big black censor bar.",Paulo Siqueira,Kelly Thompson,Paulo Siqueira,, Comic,, $3.99
A-Next (1998 - 1999),(1998 - 1999),A-Next (1998) #2,"November 01, 1998",This strange new group of Mighty Avengers have finally found their first arch nemesis!,Ron Frenz,"Tom Defalco, Ron Frenz",Ron Frenz, Marvel Universe, Comic, A, Free
Absolute Carnage (2019),(2019),Absolute Carnage (2019) #3,"September 18, 2019","THE SUMMER OF SLAUGHTER CONTINUES! After the harrowing events at the end of ABSOLUTE CARNAGE #2, Venom and Spider-Man have to deal with the hard truth that not everybody will make it out of this conflict in one piece - if they make it out at all, that is. As Carnage continues to amass strength and allies, Venom and Spider-Man realize that the only way to beat him is to do the same -",Ryan Stegman,Donny Cates,Ryan Stegman,, Comic, Rated T+, $4.99
Absolute Carnage: Scream (2019),(2019),Absolute Carnage: Scream (2019) #2,"September 04, 2019","Patricia Robertson may know symbiotes - but nothing could have ever prepared her for their god, KNULL! With Carnage building strength to call the symbiote god to Earth, Patricia must harness the power of the Scream symbiote! Can Scream withstand the draw of Knull, or are they doomed to be another casualty?","Gerardo Sandoval, Alex Arizmendi",Cullen Bunn,Gerardo Sandoval,, Comic, Rated T+, $3.99
Absolute Carnage: Symbiote Of Vengeance (2019),(2019),Absolute Carnage: Symbiote Of Vengeance (2019) #1,"September 11, 2019","Carnage is hunting down previous symbiote hosts for codices that will unlock a direct link to the symbiote god Knull! And he’s not asking nicely - he’s taking them by force! Which means former Ghost Rider Alejandra Jones is next on his hit list! With Johnny Blaze preoccupied as Hell’s king, it’s up to Danny Ketch to ride again and keep Alejandra out of Carnage’s clutches!!!",Juan Frigeri,Ed Brisson,Philip Tan, Marvel Universe, Comic, Rated T+, $4.99
Absolute Carnage: Weapon Plus (2019),(2019),Absolute Carnage: Weapon Plus (2019) #1,"November 06, 2019","After one of the pilot missions of the sym-soldier program, Rex Strickland was given a highly classified mission by Nick Fury himself. Where exactly did the ancient symbiote know as the Grendel come from? Decades later, Carnage is on a rampage that will connect him to Knull the symbiote god and only Weapon H can stop him – by picking up where Rex left off!",Stefano Raffaele,Jed Mackay,S SKAN, Marvel Universe, Comic, Rated T+, $4.99
Adam: Legend of the Blue Marvel (2008),(2008),Adam: Legend of the Blue Marvel (2008) #1,"November 05, 2008",An unstoppable super-villain attacks New York City--and the Mighty Avengers fall before him! Where did Anti-Man come from? And who can stop his overwhelming rampage?! Now Iron Man races to find the only man who's ever defeated Anti-Man-- THE BLUE MARVEL...a hero the world hasn't seen since 1961! Will Tony Stark uncover the truth behind Blue Marvel's disappearance...and will Blue Marvel ever recover from it? Kevin Grevioux (NEW WARRIORS) and Mat Broome (The End League) join forces to create Marvel's newest powerhouse super hero! Rated T ...$3.99,,,, Marvel Universe, Comic, Rated T, $3.99
Adventure Into Fear (1970 - 1975),(1970 - 1975),MAN-THING: WHATEVER KNOWS FEAR TPB (Trade Paperback),"July 01, 2005","Collects Man-Thing (2004) #1-3; Savage Tales (1971) #1, Adventure Into Fear (1970) #16. From the screenwriter of the Man-Thing movie comes this prequel exploring the disappearance of the local sheriff in a backwater bayou town plagued by mysterious and horrific events. Featuring some of the cast from the film, as well as a new character - an unflappable insurance-claims adjuster named Nathan Mehr - this story further explores the mythology and backstory introduced in the movie.",,,,,,,
Adventure Into Fear (1970 - 1975),(1970 - 1975),Adventure Into Fear (1970) #21,"April 01, 1974","Tara reveals her true nature to Morbius, showing off her super-powered psychic abilities! Morbius faces a conflict in conscience.",Gil Kane,Steve Gerber,Gil Kane,, Comic,, Free
Adventure Into Fear (1970 - 1975),(1970 - 1975),Adventure Into Fear (1970) #11,"December 01, 1972","Jennifer Kale is an amateur witch, a young woman still unfamiliar with her ties to the occult. What bond will be forged between Jennifer and Man-Thing? And when Jennifer accidentally unleashes the Nether-Spawn, will help come all too late?",,Steve Gerber,,, Digital Comic,, Free
Adventure Into Fear (1970 - 1975),(1970 - 1975),Adventure Into Fear (1970) #9,"August 01, 1972",Only death lies on the ocean floor in “Dead Man’s Escape!”,Jack Kirby,"Stan Lee, Larry Lieber",Gil Kane,, Comic,, Free
Adventure Into Fear (1970 - 1975),(1970 - 1975),Adventure Into Fear (1970) #7,"May 01, 1972",A predatory being has been lurking in a man’s dreams… and those dreams are now reality!,Jack Kirby,"Stan Lee, Larry Lieber",Gil Kane,, Comic,, Free
Adventure Into Fear (1970 - 1975),(1970 - 1975),Adventure Into Fear (1970) #4,"July 01, 1971",A robot on the loose and a man has his mind switched with an alien!,Jack Kirby,"Larry Lieber, Stan Lee",,, Comic,, Free
Adventures of Captain America (1991 - 1992),(1991 - 1992),Adventures of Captain America (1991) #3,"December 01, 1991","As Cap and Bucky get ever closer to confronting the Red Skull, the mystery identity of the evil Agent X is revealed -- and it shatters the world that Steve Rogers thought he knew forever!","Kevin Maguire, Kevin West",Fabian Nicieza,Kevin Maguire,, Comic,, Free
Adventures of Spider-Man (1996 - 1997),(1996 - 1997),Adventures of Spider-Man (1996) #5,"August 01, 1996",Spidey must rescue an astronaut from Rhino’s rage!,"Andy Kuhn, Rob Stull",Nel Yomtov,Andy Kuhn,, Comic, No Rating, Free
Adventures of the X-Men (1996 - 1997),(1996 - 1997),Adventures of the X-Men (1996) #8,"November 01, 1996",Gambit finds himself in the middle of a war between the Thieves Guild and the Assassins — but what will become of the ragin’ Cajun’s brother?,,,,, Comic, No Rating, Free
Aero (2019 - 2020),(2019 - 2020),Aero (2019) #11,"September 16, 2020","THE TEAM-UP YOU'VE BEEN WAITING FOR: AERO AND IRON MAN! AERO'S powers are put to the test! Can the legendary IRON MAN teach Aero the meaning of teamwork? Will they save SHANGHAI, or are they just falling into MADAME HUANG'S trap?",Pop Mhan,"Amy Chu, Greg Pak",Xu Ming,, Comic, Rated T+, $3.99
Aero (2019 - 2020),(2019 - 2020),Aero (2019) #7,"January 08, 2020",THE MADAME OF MYSTERY AND MENACE! LEI LING finally faces MADAME HUANG! But who is Huang and will her experience and power stop AERO in her tracks? And will Aero be able to crack the mystery of the crystal jade towers and creatures infiltrating Shanghai before they take over the city?,Pop Mhan,"Greg Pak, Alyssa Wong",Eduard Petrovich,, Comic, Rated T+, $3.99
Aero (2019 - 2020),(2019 - 2020),Aero (2019) #6,"December 11, 2019","HEART OF GLASS… As Aero investigates the mysterious crystal towers sprouting up across the city, Lei Ling struggles with questions of the heart - because everyone in Shanghai loves Aero - except Lei Ling's own boyfriend! Meanwhile, in our second story, can Wave finally unlock the secrets of AlonTech and her origins and redeem herself with Triumph Division? Or will her discovery change everything forever?",Pop Mhan,"Alyssa Wong, Greg Pak",Xu Ming,, Comic, Rated T+, $3.99
Aero (2019 - 2020),(2019 - 2020),Aero (2019) #3,"September 18, 2019","THE KEY TO CATASTROPHE! Searching for the source of the mystical monsters threatening her beloved Shanghai, AERO confronts the mysterious MADAME HUANG - and faces the horror of KEYSTONE! Meanwhile, WAVE fights to prove herself to TRIUMPH DIVISION by tracking down the fugitive scientists of ALONTECH. What will she do when she discovers their true motives - and how far will Aero be willing to follow her friend down her new path?",Pop Mhan,"Alyssa Wong, Greg Pak",Xu Ming,, Comic, Rated T+, $3.99
Aero (2019 - 2020),(2019 - 2020),Aero (2019) #1,"July 03, 2019","CATCH THE WAVE! ALL NEW ONGOING SERIES! The breakout stars of WAR OF THE REALMS: AGENTS OF ATLAS debut in an oversized team-up book! Get ready for the English language debut of the first appearance of AERO, the high-flying Shanghaiese superheroine created for Marvel by Zhou Liefen and Keng! And in a brand new story written by PLANET HULK writer Greg Pak, Aero teams up with WAVE, Marvel's newest Filipina superheroine! What strange forces have turned the buildings of Shanghai into monstrous golems? And what is the SECRET ORIGIN OF WAVE?",Pop Mhan,Greg Pak,,, Comic, Rated T+, $3.99
Age of Apocalypse (2011 - 2013),(2011 - 2013),Age of Apocalypse (2011) #11,"January 09, 2013",The X-Terminated vs. Weapon X! Jean Grey's fate lies in the balance!,Roberto Delatorre,David Lapham,,, Comic,, $2.99
Age of Apocalypse (2011 - 2013),(2011 - 2013),Age of Apocalypse (2011) #7,"September 05, 2012",The X-Terminated travel to Latveria in search of Victor Von Doom!,Kris Anka,David Lapham,,, Comic,, $2.99
Age of Apocalypse (2015),(2015),Age of Apocalypse (2015) #5,"October 21, 2015","The philosophy of Apocalypse has always been ""let the fittest survive,"" but by its ultimate extension, that would only leave one person standing! As mutants fall from the shocking release of a devastating plague, who will live and who will die? And if Apocalypse falls, who will rule in his place...?",Gerardo Sandoval,Fabian Nicieza,,, Comic,, $3.99
Age of Conan: Valeria (2019 - Present),(2019 - Present),,,,,,,,,,
Age of Heroes (2010),(2010),Age of Heroes (2010) #3,"July 21, 2010","What mission could cause Maria Hill, Sharon Carter, and Victoria Hand, the three Avengers liaisons, to join forces? Plus, the Blue Marvel makes his presence known around the world to re-establish himself as a hero of the people. TASKMASTER learns in Tokyo that The Heroic Age is a none too friendly place for villains who have fallen from the top! Plus, a nutty, new turning point in the life of Squirrel Girl!","Brad Walker, Jefte Palo, Ty Templeton, M.C. Wyman","Dan Slott, Kelly Sue Deconnick, Kevin Grevioux, Fred Van Lente",Yanick Paquette,, Comic, Rated T+, $3.99
Age of Heroes (2010),(2010),Age of Heroes (2010) #1,"May 19, 2010","Eisner-winner & fan-favorite KURT BUSIEK RETURNS TO MARVEL! THE HEROIC AGE IS HERE! The Heroes are restored to their rightful place in this new era, and the world is safer for them. They defeated Osborn & his Siege on Asgard, now they have one last foe to face: the Mayor of New York -- J. Jonah Jameson! Also, MI13 come to the US, but one of them isn't leaving--they are defecting to the AVENGERS?! Plus Dr. Voodoo's Sorcerer Supreme duties infringe on ""date night"" and how much trouble can Spider-Man get into in one day? The answer: A LOT! Rated T ...$3.99",,,,, Comic,, $3.99
Age of Ultron (2013),(2013),Age of Ultron (2013) #7,"May 01, 2013",In an attempt to defeat Ultron two Marvel Heroes take it upon themselves to create an all-new Marvel Universe. But is the one they have created better or worse than the one they left behind? The event of the year just got INSANE!!,Carlos Pacheco,Brian Michael Bendis,Brandon Peterson, Marvel Universe, Comic, Rated T+, $3.99
Age of Ultron (2013),(2013),Age of Ultron (2013) #6,"April 17, 2013","The heroes take the fight to Ultron...with a near-broken Captain America taking the lead! Meanwhile, Wolverine takes it upon himself to make one of the most controversial decisions in the history of Marvel comics...and you'll never believe who goes along with him!",Brandon Peterson,Brian Michael Bendis,, Marvel Universe, Comic, Rated T+, $3.99
Age of X-Man Alpha (2019),(2019),Age of X-Man Alpha (2019) #1,"January 30, 2019",THE AGE OF X-MAN DAWNS…AND THE X-MEN CANNOT STOP IT.,Ramon Rosanas,"Zac Thompson, Lonnie Nadler",Phil Noto, Marvel Universe, Comic, Rated T+, $4.99
Age of X-Man: Apocalypse & the X-Tracts (2019),(2019),Age of X-Man: Apocalypse & the X-Tracts (2019) #4,"June 12, 2019","THE AGE OF X-MAN CONTINUES! You think this """"A"""" stands for """"America""""? Think again! Genesis takes the field in the name of Apocalypse to fight for love and friendship!",Salva Espin,Tim Seeley,Gerardo Sandoval,, Comic, Rated T+, $3.99
Age of X-Man: X-Tremists (2019),(2019),Age of X-Man: X-Tremists (2019) #4,"May 29, 2019",THE AGE OF X-MAN CONTINUES! Northstar - the guiding light that keeps the traveler reassured they are going in the right direction. If only the name rang true for poor Jean-Paul-,Georges Jeanty,Leah Williams,R Rahzzah,, Comic, Rated T+, $3.99
Agent X (2002 - 2004),(2002 - 2004),Agent X (2002) #11,"June 04, 2003","The mighty Brian Stelfreeze mixes a little sex with a lot of violence for this cover. Oh Agent-X, things were so much better for you back then.",Juan Bobillo,Evan Dorkin,, MARVEL UNIVERSE, Comic, MARVEL PSR, Free
Agent X (2002 - 2004),(2002 - 2004),Agent X (2002) #8,"February 26, 2003",Agent X's next hit is Christine Gallagher's father. The catch? Christine's father is invisible!,Mitch Breitweiser,Buddy Scalera,, MARVEL UNIVERSE, Comic, MARVEL PSR, Free
Agent X (2002 - 2004),(2002 - 2004),Agent X (2002) #7,"January 29, 2003",Alex Hayden must returns stolen panties to Sir William. Or else.,Udon Comics Company,Gail Simone,, MARVEL UNIVERSE, Comic, MARVEL PSR, Free
Agent X (2002 - 2004),(2002 - 2004),Agent X (2002) #1,"August 07, 2002","Alex Hayden is the mysterious Agent X. Who is Alex Hayden? And how can he realize his full potential if he has no memory of who he is? The origin to one of the most cynical, and dangerous, mercenaries in the Marvel U!",Udon Comics Company,Gail Simone,, MARVEL UNIVERSE, Comic, MARVEL PSR, Free
Agents of Atlas (2009),(2009),Agents of Atlas (2009) #10,"September 02, 2009","There's no enemy quite like a former lover, is there? The gloves are all the way off as Jade Claw and her forces begin assaulting Atlas on every front! The Agents throw everything they've got at the Great Wall, but to no avail. Gorilla-Man is convinced only ONE member of the team can possibly stop the rain of pain... Rated T ...$2.99","Paul Rivoche, Gabriel Hardman",Jeff Parker,, MARVEL UNIVERSE, Comic, RATED T, $2.99
Agents of Atlas (2009),(2009),Agents of Atlas (2009) #2,"March 04, 2009","Norman Osborn's shadow government looks to pull ahead in the arms race with the help of the Atlas Foundation and the Uranian weaponry of the world's most bizarre defense contractor, Marvel Boy! The dark contacts grow even more solid when Jimmy Woo meets his understudy - Temujin, the son of the Mandarin! How does this all connect to one of the Agents' 1958 missions? Access M-11's datahold and find out! Rated T ...$2.99","Gabriel Hardman, Carlo Pagulayan",Jeff Parker,Greg Land, MARVEL UNIVERSE, Comic, RATED T, $2.99
Agents of S.H.I.E.L.D. (2016),(2016),Agents of S.H.I.E.L.D. (2016) #1,"January 13, 2016",It’s high-stakes espionage in the Marvel Universe in this brand-new series inspired by the hit television show Marvel’s Agents of S.H.I.E.L.D. Tony Stark guest-stars in the beginning of “THE COULSON PROTOCOLS.”,German Peralta,Marc Guggenheim,Mike Norton,, Comic,, $3.99
Alias (2001 - 2003),(2001 - 2003),Alias Omnibus (Hardcover),"March 29, 2006","Once upon a time, Jessica Jones was a costumed super-hero, just not a very good one. Her powers were unremarkable compared to the amazing abilities of the costumed icons that populate the Marvel Universe. In a city of Marvels, Jessica Jones never found her niche. Now a chain-smoking, self-destructive alcoholic with a mean inferiority complex, Jones is the owner and sole employee of Alias Investigations - a small, private-investigative firm specializing in super-human cases. In her inaugural arc, Jessica's life immediately becomes expendable when she uncovers the potentially explosive secret of one hero's true identity. But her wit, charm and intelligence just may help her survive through another day. Thrust into the midst of a conspiracy that reaches the highest levels, has Jessica burned too many bridges to turn to old friends for help? Plus: Jessica travels to upstate New York to investigate the disappearance of a teenage girl rumored to be a mutant in a prejudiced small town, goes on a date with the Astonishing Ant-Man, teams up with Jessica Drew, the original Spider-Woman; and confronts the demons of her past! Collects Alias #1-28, What If? Jessica Jones had Joined the Avengers.",,,,,,,
Alias (2001 - 2003),(2001 - 2003),Alias (2001) #19,"April 10, 2003",,,,, Max, Comic, Max, Free
Alias (2001 - 2003),(2001 - 2003),Alias (2001) #14,"November 10, 2002",,Michael Gaydos,Brian Michael Bendis,, Max, Comic, Max, Free
Alias (2001 - 2003),(2001 - 2003),Alias (2001) #5,"March 01, 2002",,Michael Gaydos,Brian Michael Bendis,, Max, Comic, Max, Free
Alias (2001 - 2003),(2001 - 2003),Alias (2001) #2,"December 01, 2001",,Michael Gaydos,Brian Michael Bendis,, Max, Comic, Max, Free
All-New Captain America (2014 - 2015),(2014 - 2015),All-New Captain America (2014) #5,"March 18, 2015",The countdown to great leveling begins. Planet Hydra Is all but assured. Captain America is our last hope.,Stuart Immonen,Rick Remender,,, Comic,, $3.99
All-New Captain America (2014 - 2015),(2014 - 2015),All-New Captain America (2014) #2,"December 17, 2014","The new Hydra has formed, comprised of the most ruthless villains of the Marvel Universe as the great infiltration continues! Cap uncovers the ultimate goal of the new Hydra but is it too late to stop them? Cap and Nomad's new partnership is put to the ultimate test as they race to uncover The Sect of the Unknown!",Stuart Immonen,Rick Remender,,, Comic,, $3.99
All-New Captain America (2014 - 2015),(2014 - 2015),All-New Captain America (2014) #1,"November 12, 2014","This is it! The all-new, Spy-Fi, highflying adventures of Sam Wilson Captain America and Nomad begin here! Hydra is growing, the terrorist band have has infiltrated the Marvel Universe completely! But what is their ultimate goal? United by Hydra, Cap's rogue's gallery gathers to take down the new untested Captain America and Nomad!",Stuart Immonen,Rick Remender,,, Comic,, $3.99
All-New Doop (2014),(2014),All-New Doop (2014) #2,"May 21, 2014",Doop takes Kitty Pryde for the trip of her life! See the treasures DOOPSPACE has to offer!,Mike Allred,Peter Milligan,, Marvel Universe, Comic, Rated T+, $3.99
All-New Ghost Rider (2014 - 2015),(2014 - 2015),All-New Ghost Rider (2014) #10,"January 14, 2015","ALL-NEW GHOST RIDER VS. GUERO'S BLUE KRUE & The Russian Mob! Can ROBBIE & ELI end their heated inner struggle between Righteous Duty and Satanic Rage in time to avoid their demise? Can JOHNNY BLAZE stir his new protege in the right direction, or will the All-New Ghost Rider become his most evenly matched enemy for all eternity?",Damion Scott,Felipe Smith,, Marvel Universe, Comic,, $3.99
All-New Ghost Rider (2014 - 2015),(2014 - 2015),All-New Ghost Rider (2014) #2,"April 09, 2014","""ENGINES OF VENGEANCE"" PART 2. ROBBIE REYES has been given a new awesome power but can the teen handle it or will it drive him to a path of destruction? Who owns the HAUNTED RACE CAR and what will they do to get it back? What are the PINK PILLS and who is behind their creation?",,,, Marvel Universe, Comic,, $3.99
All-New Hawkeye (2015),(2015),All-New Hawkeye (2015) #2,"April 08, 2015","Arrows over Bed-Stuy! Intrigue at the circus! The past and present merge as Hawkeyes Barton and Bishop race against time to save a group of innocent kids, with devastating powers.",Ramon Perez,Jeff Lemire,, Marvel Universe, Comic, Rated T+, $3.99
All-New Inhumans (2015 - 2016),(2015 - 2016),All-New Inhumans (2015) #7,"May 04, 2016","AN ALL-NEW ADVENTURE STARTS NOW! The Unpredicable Anna Kravinoff (a.k.a., one of the Kraven family) joins the cast and leads Crystal and her crew to the wilds of Africa in search of a hidden Inhuman enclave that holds answers to Flint's past. Who are these isolationist Inhumans and why was Flint sent away at such a young age?! Those answers will cause the All-New Inhumans all kinds of problems.",Stefano Caselli,James Asmus,Jamal Campbell,, Comic,, $3.99
All-New Invaders (2014 - 2015),(2014 - 2015),All-New Invaders (2014) #2,"February 05, 2014","""GODS AND SOLDIERS"" PART TWO. Eisner Award winner James Robinson (STARMAN, EARTH 2) returns to MARVEL, uniting with Steve Pugh (ANIMAL MAN, HOTWIRE, GEN-X) to create a unique new take on the INVADERS. As the ORIGINAL HUMAN TORCH decides to rejoin the human race, he and his fellow INVADERS face the savage fury of Kree's ultimate hunter, TANALTH THE PURSUER! How can they beat a threat that seems unbeatable? Learn the long-forgotten secret Invaders' mission -- involving dead heroes, Nazis and Norse Gods And what is the desperate measure the Invaders decide to save their teammate NAMOR from the clutches of the SUPREME INTELLIGENCE?",Mukesh Singh,James Robinson,,, Comic,, $3.99
All-New Iron Manual Digital Comic (2010 - 2008),(2010 - 2008),All-New Iron Manual Digital Comic (2010) #2,"November 30, -0001",,,,,, Comic,, Free
All-New Official Handbook of the Marvel Universe A to Z (2006),(2006),All-New Official Handbook of the Marvel Universe A to Z (2006) #10,"October 25, 2006","Featuring Shi'ar Death Squad, S.H.I.E.L.D., Silhouette, Silver Dagger, Sin, Siryn, Six-Pack, Sons of the Serpent, Spaceknights, Spot, Squadron Sinister, Stacy X, two Star-Lords, Steel Serpent, Steel Spider and more!
64 PGS./Rated T+ ...$3.99",,Keu Cha,, Marvel Universe, Comic, Rated T+, $3.99
All-New Official Handbook of the Marvel Universe A to Z (2006),(2006),All-New Official Handbook of the Marvel Universe A to Z (2006) #1,"January 25, 2006","Continuing the success of the 2004-2005 Official Handbooks of the Marvel Universe, 2006 will feature the return of the Handbook from A to Z! While the Handbooks of the past two years focused on specific themes, this twelve-issue monthly series will extend the coverage to all Marvel's characters, teams, objects, events, and places-plus past, future and alternate Earths. The spotlight will fall on more than 600 profiles-including new characters, characters who never received a profile and those needing major updates. As an added bonus, there will be special themed Handbooks covering more than 250 characters throughout the year.
64 PGS./Rated T+ SUGGESTED FOR TEENS AND UP ...$3.99",Keu Cha,"Mark OEnglish, Mike Fichera, Michael Hoskin, Barry Reese",, Marvel Universe, Comic, Rated T+, $3.99
All-New Savage She-Hulk (2009),(2009),All-New Savage She-Hulk (2009) #4,"July 22, 2009","True Believers, can you withstand the mind-blowing revelations that await you in these pages? Can you retain your sanity upon learning the ultimate implications of Norman Osborn's DARK REIGN? Will you ever sleep again knowing the superhuman-spawned horrors of the twenty-third century are just around the bend? And the only woman standing between us and the apocalypse to come is the ALL-NEW SAVAGE SHE-HULK, locked in a climactic death-duel with the DARK AVENGERS! Plus: Reprinting the Scorpion vs. Venom tale by Fred Van Lente and Leonard Kirk. Parental Advisory ...$3.99","Daniel Ketchum, Stephan Roux, Michael Ryan, Aubrey Sitterson",Fred Van Lente,, Marvel Universe, Comic, Rated T, $3.99
All-New Ultimates (2014 - 2015),(2014 - 2015),All-New Ultimates (2014) #1,"April 09, 2014","THE NEXT GENERATION OF ULTIMATES IS HERE!!! SPIDER-MAN, BLACK WIDOW, KITTY PRYDE, BOMBSHELL, CLOAK & DAGGER officially unite to tackle the vicious, rampant crime wave overtaking Hell's Kitchen! DIAMONDBACK leads the teen gang, the SERPENT SKULLS, as they run West Midtown's drug and weapons trade & deal in murderous citywide terror! Detective Brigid O'Reilly and her anti-gang unit are on the hunt for a serial mask killer called SCOURGE; they get close but not without some casualties! Written by Michel Fiffe, the creator of the acclaimed indie series COPRA.",,David Nakayama,, Ultimate Universe, Comic, Rated T+, $3.99
All-New Wolverine (2015 - 2018),(2015 - 2018),All-New Wolverine (2015) #35,"May 16, 2018","The world has been saved. Its people, never happier. The Wolverine should be retired, enjoying her time ruling Madripoor and living life with her sister. But instead Laura is in the last bastion of cruelty: Latveria. She has one more mission: One person to save, one person to kill. It all comes down to this.",Ramon Rosanas,Tom Taylor,David Lopez,, Comic, Rated T+, $3.99
All-New Wolverine (2015 - 2018),(2015 - 2018),All-New Wolverine (2015) #32,"March 14, 2018","THE ORPHANS OF X RETURN! The last time we saw the Orphans of X, they were hunting Laura and other Wolverines for revenge. And now they've returned. But for what purpose? And will WOLVERINE be able to survive this encounter with her deadliest enemy yet?",Djibril Morissette-Phan,Tom Taylor,David Lopez,, Comic, Rated T+, $3.99
All-New Wolverine (2015 - 2018),(2015 - 2018),All-New Wolverine (2015) #30,"January 31, 2018","ORPHANS OF X Part 6. The final epic battle between Wolverine, Daken and the Orphans of X! It all ends here.",Juann Cabal,Tom Taylor,Daniel Mora,, Comic, Rated T+, $3.99
All-New Wolverine (2015 - 2018),(2015 - 2018),All-New Wolverine (2015) #25,"October 11, 2017","ORPHANS OF X Part 1. DAKEN, the enigmatic son of Logan, has been kidnapped and it's up to the ALL-NEW WOLVERINE to find him. But when the trail leads Laura, a genetic clone of the original Wolverine, back to the FACILITY where she was created and tortured, she will find new horrors waiting for her. Who are the ORPHANS OF X and what do they have in store for the children of Logan? PLUS: Includes 3 bonus MARVEL PRIMER PAGES! Story by Robbie Thompson and art by Mark Bagley!","Mark Bagley, Juann Cabal","Tom Taylor, Robbie Thompson",Terry Dodson,, Comic, Rated T+, $3.99
All-New Wolverine (2015 - 2018),(2015 - 2018),All-New Wolverine (2015) #19,"April 05, 2017","ALL-NEW STORY STARTS HERE! """"IMMUNE""""! FROM THE STARS COMES DEATH! An alien ship! A dying passenger! Two words uttered that will forever change WOLVERINE's life - starting a non-stop race against a deadly transformative disease, a battle in a quarantined city and a mysterious villain with a target on her head.",Leonard Kirk,Tom Taylor,,, Comic, Rated T+, $3.99
