comic_name,active_years,issue_title,publish_date,issue_description,penciler,writer,cover_artist,Imprint,Format,Rating,Price
Gambit (1999 - 2001),(1999 - 2001),Gambit (1999) #21,"October 01, 2000","Now that the Thieves and the Assassins Guilds have been unified, Gambit digs into his past to find out more about his future, but does he even have a past? Then, sparks fly in the Pentagon as Remy LeBeau travels to Washington, DC, and runs into the sexy and sinister shape-changer known as Mystique!",Yanick Paquette,Fabian Nicieza,,, Comic,, Free
Gambit (1999 - 2001),(1999 - 2001),Gambit (1999) #9,"October 01, 1999","The manifestations of The Shattering continue as the ragin’ Cajun finds Sabretooth, but not nearly in the shape he expected! What could possibly have done this to Marvel¹s most dangerous mutant, and why is Scalphunter trying to kill them both? The answers all lie with the man known as Sinister, and he'll only talk for a price...a price that could cost the souls of two men, and the lives of those dearest to them!",,Fabian Nicieza,,, Comic,, Free
Gambit (1999 - 2001),(1999 - 2001),Gambit (1999) #4,"May 01, 1999","Back in de Big Easy! Our hero returns to his home turf at the request of Tante Mattie and his father Jean-Luc LeBeau. An ancient, vampiric evil has reemerged, and is threatening the lives of children sold to the Antiquary! Blade makes a painSTAKING appearance!",,Fabian Nicieza,,, Comic,, Free
Gambit (1999 - 2001),(1999 - 2001),Gambit (1999) #3,"April 15, 1999","Ensnared in a game of international intrigue! Gambit runs afoul of a madcap crew known as A.S.K.E.W, while tracking mutant messenger, Courier. Introducing the Mengo Brothers, professional thugs of the Pig! Plus, what’s all this talk about a mind-controlling gas?",,Fabian Nicieza,,, Comic,, Free
Gambit (1999 - 2001),(1999 - 2001),Gambit (1999) #0.5,"January 01, 1999",The prelude to Gambit's ongoing series! Gambit’s been hired out by the mysterious New Son to collect a ‘sigil’ from the High Evolutionary’s base in the Savage Land. Little does Gambit know…the ‘sigil’ is a human being!,Pasqual Ferry,Fabian Nicieza,,, Comic,, Free
Gambit (2004 - 2005),(2004 - 2005),Gambit (2004) #7,"February 09, 2005",VOODOO ECONOMICS PART 1 Gambit's hometown is being overrun by zombies! What can the Ragin' Cajun do to save his beloved Big Easy from the wrath of the undead?,Georges Jeanty,John Layman,Georges Jeanty, MARVEL UNIVERSE, Comic, MARVEL PSR, $2.99
Gambit (2004 - 2005),(2004 - 2005),Gambit (2004) #1,"September 01, 2004",HOUSE OF CARDS PART 1 Ever wonder what Gambit gets up to when he's not out saving the world with the X-Men? Welcome to the exciting but treacherous terrain of the New Orleans underworld.,Georges Jeanty,John Layman,Georges Jeanty, MARVEL UNIVERSE, Comic, MARVEL PSR, $2.99
Gambit (2012 - 2013),(2012 - 2013),Gambit (2012) #6,"November 28, 2012",How will Gambit manage to dupe his extortionist while also escaping with a clear name? Guest-starring Pete Wisdom and MI -13!,"Al Barrionuevo, Diogenes Neves",James Asmus,Rachel Dodson,, Comic,, $2.99
Gambit (2012 - 2013),(2012 - 2013),Gambit (2012) #1,"August 08, 2012","When Marvel's premiere thief sets his sights on his biggest score yet, he may just end up over his head. It's going to take more than just playing cards and southern charm to get out of this one!",Clay Mann,James Asmus,Clay Mann,, Comic,, $2.99
Gamma Flight (2021),(2021),Gamma Flight (2021) #2,"July 21, 2021","THE BIGGEST REVEAL OF THE SUMMER! Who is after Gamma Flight? You’ve been calling for them since IMMORTAL HULK’s early days — well, True Believer, we’re here to deliver. Come to GAMMA FLIGHT for all the radioactive wonder you’ve been missing — and the characters you love to hate.",Lan Medina,"Al Ewing, Crystal Frasier",Leinil Francis Yu,, Comic, Rated T+, $3.99
